stock_symbol,date,open_price,current_price,high_price,low_price,trading_volume,market_trend
AMZN,2024-11-06,200.01,207.09,207.55,199.14,72292200,Upward
AMZN,2024-11-07,207.44,210.05,212.25,207.19,52878400,Upward
AMZN,2024-11-08,209.72,208.18,209.96,207.44,36075800,Downward
AMZN,2024-11-11,208.5,206.84,209.65,205.59,35456000,Downward
AMZN,2024-11-12,208.37,208.91,209.54,206.01,38942900,Upward
AMZN,2024-11-13,209.4,214.1,215.09,209.14,46212900,Upward
AMZN,2024-11-14,214.16,211.48,215.9,210.88,42620300,Downward
AMZN,2024-11-15,206.76,202.61,207.34,199.61,86591100,Downward
AMZN,2024-11-18,204.15,201.7,204.67,200.95,36512500,Downward
AMZN,2024-11-19,199.33,204.61,205.3,198.78,31197900,Upward
AMZN,2024-11-20,202.98,202.88,203.13,199.45,32769000,Downward
AMZN,2024-11-21,203.49,198.38,203.49,195.75,58800000,Downward
AMZN,2024-11-22,198.25,197.12,199.26,196.75,31530800,Downward
AMZN,2024-11-25,199.28,201.45,201.95,199,40685700,Upward
AMZN,2024-11-26,201.9,207.86,208,201.79,41673700,Upward
AMZN,2024-11-27,206.98,205.74,207.64,205.05,28061600,Downward
AMZN,2024-11-29,205.83,207.89,208.2,204.59,24892400,Upward
AMZN,2024-12-02,209.96,210.71,212.99,209.51,39523200,Upward
AMZN,2024-12-03,210.31,213.44,214.02,209.65,32214800,Upward
AMZN,2024-12-04,215.96,218.16,220,215.75,48745700,Upward
AMZN,2024-12-05,218.03,220.55,222.15,217.3,41140200,Upward
AMZN,2024-12-06,220.75,227.03,227.15,220.6,44178100,Upward
AMZN,2024-12-09,227.21,226.09,230.08,225.67,46819400,Downward
AMZN,2024-12-10,226.09,225.04,229.06,224.2,31199900,Downward
AMZN,2024-12-11,226.41,230.26,231.2,226.26,35385800,Upward
AMZN,2024-12-12,229.83,228.97,231.09,227.63,28204100,Downward
AMZN,2024-12-13,228.4,227.46,230.2,225.86,28768100,Downward
AMZN,2024-12-16,230.23,232.93,233,228.01,37552100,Upward
AMZN,2024-12-17,232.39,231.15,232.73,227.85,35918500,Downward
